,OlfN,TotalN,Tokens,OAI,OSI
interesting_JJ,19,35573,['interesting_JJ'],-10.870567513337114,11.282387372034844
actually_RB,37,66434,['actually_RB'],-10.810180795813121,10.32086151984948
young_JJ,29,96643,"['young_JJR', 'young_JJ']",-11.702396624038776,10.672333890350858
cut_VB,9,39179,"['cut_VBZ', 'cut_VB', 'cut_VBD', 'cut_VBN', 'cut_VBG']",-12.087867953010944,12.360389884036117
sharp_JJ,11,9366,"['sharp_JJ', 'sharp_JJR']",-9.733785704061768,12.070883266841133
cake_NN,30,3817,"['cake_NN', 'cake_NNS', 'cake_NNP']",-6.991332875607039,10.623424289869911
early_JJ,26,107699,"['early_JJ', 'early_JJS', 'early_JJR']",-12.01620561061852,10.829875167337338
government_NN,9,198018,['government_NN'],-14.425347051432823,12.360389884036117
variety_NN,81,69528,"['variety_NN', 'variety_NNS']",-9.745456467106935,9.190464882593805
rice_NN,26,9910,"['rice_NN', 'rice_NNP']",-8.574229623932759,10.829875167337338
strange_JJ,25,10602,['strange_JJ'],-8.728192635498049,10.886458695703706
only_RB,129,395986,['only_RB'],-11.583862644046697,8.519087630055175
everything_NN,46,47253,"['everything_NN', 'everything_NNP']",-10.00455634960348,10.006752929421417
real_JJ,87,84721,['real_JJ'],-9.927488501908762,9.087371389629702
anything_NN,42,52768,['anything_NN'],-10.295058260658706,10.13799746269967
never_RB,96,117774,['never_RB'],-10.260699056083062,8.945352384757273
dry_JJ,12,19708,"['dry_JJ', 'dry_JJR']",-10.681531255591027,11.945352384757273
fun_NN,25,20739,['fun_NN'],-9.696202521253612,10.886458695703706
usually_RB,26,72943,['usually_RB'],-11.45404219747008,10.829875167337338
result_NN,31,193322,"['result_NNS', 'result_NN']",-12.606449989311805,10.576118575091554
quick_JJ,16,16140,['quick_JJ'],-9.978352958165143,11.53031488547843
blend_VB,14,4516,"['blend_VB', 'blend_VBZ']",-8.333474848715397,11.722959963420825
show_VB,40,191875,"['show_VBP', 'show_VBN', 'show_VBD', 'show_VB', 'show_VBZ', 'show_VBG']",-12.227879130032267,10.208386790591067
lifestyle_NN,21,8963,"['lifestyle_NN', 'lifestyle_NNS']",-8.737448558531892,11.13799746269967
demand_NN,19,44194,"['demand_NNS', 'demand_NN']",-11.183635381473218,11.282387372034844
difference_NN,58,71743,"['difference_NN', 'difference_NNS']",-10.27256945860817,9.672333890350858
opinion_NN,34,43204,"['opinion_NN', 'opinion_NNS']",-10.311414427377999,10.44285204422809
convenience_NN,18,7061,['convenience_NN'],-8.61573179998488,11.360389884036117
word_NN,15,101429,"['word_NNS', 'word_NN']",-12.72322007726967,11.623424289869911
temperature_NN,10,35236,"['temperature_NN', 'temperature_NNS']",-11.782834443094607,12.208386790591067
final_JJ,8,59727,['final_JJ'],-12.86609563868349,12.53031488547843
third_JJ,10,54135,['third_JJ'],-12.40234592861839,12.208386790591067
