,OlfN,TotalN,Tokens,OAI,OSI
work_VB,1829,359907,"['work_VB', 'work_VBG', 'work_VBD', 'work_VBP', 'work_VBZ', 'work_VBN']",-7.620425276875928,9.147182666175018
come_VB,4566,296684,"['come_VB', 'come_VBN', 'come_VBP', 'come_VBD', 'come_VBG', 'come_VBZ']",-6.021852455402137,7.827306881699033
legislation_NN,179,36062,"['legislation_NN', 'legislation_NNP']",-7.654376013200438,12.500206248659477
congress_NN,203,45987,"['congress_NNP', 'congress_NN', 'congress_NNS']",-7.823602547746988,12.318686108738557
before_RB,724,20666,['before_RB'],-4.835125667944257,10.484176138840528
boat_NN,160,14969,"['boat_NN', 'boat_NNS', 'boat_NNP']",-6.547762130425201,12.662093931036372
leave_VB,790,147386,"['leave_VBG', 'leave_VBD', 'leave_VBP', 'leave_VB', 'leave_VBN', 'leave_VBZ']",-7.543531122631517,10.358313182859268
sad_JJ,230,6169,"['sad_JJ', 'sad_JJS', 'sad_JJR']",-4.745330879986149,12.13853197497936
lose_VB,277,74265,"['lose_VBD', 'lose_VB', 'lose_VBP', 'lose_VBN', 'lose_VBG', 'lose_VBZ']",-8.066652663521491,11.870279859874547
hope_VB,561,30030,"['hope_VBP', 'hope_VB']",-5.742259893835719,10.852165065314942
