,OlfN,TotalN,Tokens,OAI,OSI
crowd_NN,196,12230,"['crowd_NN', 'crowd_NNS', 'crowd_NNP']",-5.963426939,12.36931218
flag_NN,181,11315,"['flag_NN', 'flag_NNS', 'flag_NNP']",-5.966103077,12.48417614
lot_NN,1500,93937,"['lot_NN', 'lot_NNS', 'lot_NNP']",-5.968659114,9.433275241
lady_NN,205,12840,"['lady_NN', 'lady_NNS', 'lady_NNP']",-5.968877483,12.30454193
hard_JJ,1045,65546,"['hard_JJ', 'hard_JJR', 'hard_JJS']",-5.970932894,9.954734799
standing_NN,165,10356,['standing_NN'],-5.971857036,12.61769981
unusual_JJ,207,13034,['unusual_JJ'],-5.976505322,12.29053507
window_NN,951,59976,"['window_NNS', 'window_NN', 'window_NNP']",-5.978796156,10.0907205
stuff_NN,266,16850,"['stuff_NN', 'stuff_NNS', 'stuff_NNP']",-5.985178535,11.92873959
catalog_NN,186,11799,"['catalog_NN', 'catalog_NNS', 'catalog_NNP']",-5.987218161,12.44486321
a_NN,283,17960,"['a_NNP', 'a_NN']",-5.987841487,11.83936378
documentation_NN,314,19928,"['documentation_NN', 'documentation_NNP']",-5.987888557,11.68940128
slide_NN,155,9877,"['slide_NN', 'slide_NNS', 'slide_NNP']",-5.993732789,12.70789762
box_NN,545,34840,"['box_NNS', 'box_NN', 'box_NNP', 'box_NNPS']",-5.998344584,10.89390961
website_NN,655,41920,"['website_NN', 'website_NNS', 'website_NNP']",-6,10.62867093
folk_NN,246,15799,"['folk_NNS', 'folk_NN']",-6.00503112,12.04150752
check_NN,448,28806,"['check_NN', 'check_NNS', 'check_NNPS', 'check_NNP']",-6.006726799,11.1766671
moon_NN,181,11655,"['moon_NN', 'moon_NNS', 'moon_NNP']",-6.008815497,12.48417614
blue_JJ,238,15337,"['blue_JJ', 'blue_JJS']",-6.009910928,12.08920426
definitely_RB,170,10982,['definitely_RB'],-6.01346226,12.57463109
pleasure_NN,183,11866,"['pleasure_NN', 'pleasure_NNS']",-6.018846229,12.46832219
come_VB,4566,296684,"['come_VB', 'come_VBN', 'come_VBP', 'come_VBD', 'come_VBG', 'come_VBZ']",-6.021852455,7.827306882
desire_NN,359,23379,"['desire_NN', 'desire_NNS', 'desire_NNPS', 'desire_NNP']",-6.025085568,11.49618199
improvement_NN,676,44046,"['improvement_NN', 'improvement_NNS', 'improvement_NNP']",-6.025843951,10.58314259
recall_VB,244,15974,"['recall_VB', 'recall_VBZ', 'recall_VBN', 'recall_VBP', 'recall_VBD', 'recall_VBG']",-6.032700661,12.05328469
dream_NN,247,16270,"['dream_NNS', 'dream_NN', 'dream_NNPS', 'dream_NNP']",-6.041559399,12.03565479
frequently_RB,387,25499,['frequently_RB'],-6.041963293,11.38783227
chain_NN,268,17746,"['chain_NN', 'chain_NNS', 'chain_NNP']",-6.049117063,11.91793284
wisdom_NN,155,10315,['wisdom_NN'],-6.056331795,12.70789762
difference_NN,1078,71743,"['difference_NN', 'difference_NNS']",-6.056408991,9.909880563
note_NN,791,52947,"['note_NN', 'note_NNS', 'note_NNP']",-6.064727438,10.35648814
often_RB,2126,142647,['often_RB'],-6.068163999,8.930096144
